Match,Date,Innings,Over,Runs,Total.Runs,Innings.Total.Runs,Runs.Remaining,Total.Out,Innings.Total.Out,Outs.Remaining,Wickets.in.Hand,Run.Rate,Innings.Run.Rate,Run.Rate.Required,Initial.Run.Rate.Required,Target.Score,Day-night,At.Bat,Fielding,Home.Team,Away.Team,Stadium,Country,Total.Overs,Winning.Team,Toss.Winner,at.bat.wins,at.bat.won.toss,at.bat.at.home,at.bat.bat.first,chose_bat_1st,chose_bat_2nd,forced_bat_1st,forced_bat_2nd,new.game,Error.In.Data,common.support
65193,14/05/1999,1,25,3,125,204,79,5,10,5,5,5,4.08,-1,-1,-1,0,Sri Lanka,England,England,Sri Lanka,Lord's,England,50,England,England,0,0,0,1,0,0,1,0,0,0,1
65193,14/05/1999,1,26,3,128,204,76,5,10,5,5,4.923076923,4.08,-1,-1,-1,0,Sri Lanka,England,England,Sri Lanka,Lord's,England,50,England,England,0,0,0,1,0,0,1,0,0,0,1
65193,14/05/1999,1,27,0,128,204,76,5,10,5,5,4.740740741,4.08,-1,-1,-1,0,Sri Lanka,England,England,Sri Lanka,Lord's,England,50,England,England,0,0,0,1,0,0,1,0,0,0,1
65193,14/05/1999,1,28,2,132,204,72,5,10,5,5,4.714285714,4.08,-1,-1,-1,0,Sri Lanka,England,England,Sri Lanka,Lord's,England,50,England,England,0,0,0,1,0,0,1,0,0,0,1
65193,14/05/1999,1,29,14,146,204,58,5,10,5,5,5.034482759,4.08,-1,-1,-1,0,Sri Lanka,England,England,Sri Lanka,Lord's,England,50,England,England,0,0,0,1,0,0,1,0,0,0,1
65193,14/05/1999,1,30,3,149,204,55,6,10,4,4,4.966666667,4.08,-1,-1,-1,0,Sri Lanka,England,England,Sri Lanka,Lord's,England,50,England,England,0,0,0,1,0,0,1,0,0,0,1
65193,14/05/1999,1,31,3,152,204,52,6,10,4,4,4.903225806,4.08,-1,-1,-1,0,Sri Lanka,England,England,Sri Lanka,Lord's,England,50,England,England,0,0,0,1,0,0,1,0,0,0,1
65193,14/05/1999,1,32,3,155,204,49,6,10,4,4,4.84375,4.08,-1,-1,-1,0,Sri Lanka,England,England,Sri Lanka,Lord's,England,50,England,England,0,0,0,1,0,0,1,0,0,0,1
65193,14/05/1999,1,33,0,155,204,49,7,10,3,3,4.696969697,4.08,-1,-1,-1,0,Sri Lanka,England,England,Sri Lanka,Lord's,England,50,England,England,0,0,0,1,0,0,1,0,0,0,1
65193,14/05/1999,1,34,2,157,204,47,7,10,3,3,4.617647059,4.08,-1,-1,-1,0,Sri Lanka,England,England,Sri Lanka,Lord's,England,50,England,England,0,0,0,1,0,0,1,0,0,0,1
65193,14/05/1999,1,35,3,158,204,46,7,10,3,3,4.514285714,4.08,-1,-1,-1,0,Sri Lanka,England,England,Sri Lanka,Lord's,England,50,England,England,0,0,0,1,0,0,1,0,0,0,1
65193,14/05/1999,1,36,9,164,204,40,7,10,3,3,4.555555556,4.08,-1,-1,-1,0,Sri Lanka,England,England,Sri Lanka,Lord's,England,50,England,England,0,0,0,1,0,0,1,0,0,0,1
65193,14/05/1999,1,37,14,169,204,35,7,10,3,3,4.567567568,4.08,-1,-1,-1,0,Sri Lanka,England,England,Sri Lanka,Lord's,England,50,England,England,0,0,0,1,0,0,1,0,0,0,1
65193,14/05/1999,1,38,1,170,204,34,7,10,3,3,4.473684211,4.08,-1,-1,-1,0,Sri Lanka,England,England,Sri Lanka,Lord's,England,50,England,England,0,0,0,1,0,0,1,0,0,0,1
65193,14/05/1999,1,39,0,170,204,34,7,10,3,3,4.358974359,4.08,-1,-1,-1,0,Sri Lanka,England,England,Sri Lanka,Lord's,England,50,England,England,0,0,0,1,0,0,1,0,0,0,1
65193,14/05/1999,1,40,5,175,204,29,8,10,2,2,4.375,4.08,-1,-1,-1,0,Sri Lanka,England,England,Sri Lanka,Lord's,England,50,England,England,0,0,0,1,0,0,1,0,0,0,1
65193,14/05/1999,1,41,2,177,204,27,8,10,2,2,4.317073171,4.08,-1,-1,-1,0,Sri Lanka,England,England,Sri Lanka,Lord's,England,50,England,England,0,0,0,1,0,0,1,0,0,0,1
65193,14/05/1999,1,42,7,184,204,20,8,10,2,2,4.380952381,4.08,-1,-1,-1,0,Sri Lanka,England,England,Sri Lanka,Lord's,England,50,England,England,0,0,0,1,0,0,1,0,0,0,1
